['Haval F7,2021', '10 190 000', '₸', 'В кредит от', ' 115 088 ₸/мес.', 'Кроссовер • Новая', '13 окт, Усть-Каменогорск']
['Hyundai Palisade,2021', '23 990 000', '₸', 'В кредит от', ' 271 096 ₸/мес.', 'Внедорожник • Новая', '19 авг, Караганда']
['Volkswagen Tiguan,2021', '13 000 000', '₸', 'В кредит от', ' 191 733 ₸/мес.', 'Кроссовер • 5 000 км', '23 июл, Алматы']
['Hyundai Tucson,2021', '14 500 000', '₸', 'В кредит от', ' 162 830 ₸/мес.', 'Кроссовер • Новая', '21 авг, Алматы']
['Land Rover Defender,2021', '48 300 000', '₸', 'В кредит от', ' 560 021 ₸/мес.', 'Внедорожник • Новая', '24 авг, Нур-Султан']
['Kia Carnival,2021', '22 800 000', '₸', 'В кредит от', ' 336 271 ₸/мес.', 'Минивэн • 7 000 км', '24 авг, Алматы']
['Hyundai Accent,2021', '8 500 000', '₸', 'В кредит от', ' 123 941 ₸/мес.', 'Седан • 24 000 км', '23 авг, Актау']
['Chevrolet Nexia,2021', '4 050 000', '₸', 'В кредит от', ' 44 148 ₸/мес.', 'Седан • Новая', '23 авг, Алматы']
['Hyundai Accent,2021', '6 300 000', '₸', 'В кредит от', ' 91 494 ₸/мес.', 'Седан • 10 000 км', '22 авг, Нур-Султан']
['Toyota RAV4,2021', '17 700 000', '₸', 'В кредит от', ' 259 629 ₸/мес.', 'Кроссовер • 15 000 км', '22 авг, Нур-Султан']
['Volkswagen Polo,2021', '8 400 000', '₸', 'В кредит от', ' 123 890 ₸/мес.', 'Седан • 10 600 км', '6 авг, Алматы']
['Chevrolet Tracker,2021', '8 200 000', '₸', 'В кредит от', ' 166 068 ₸/мес.', 'Кроссовер • 7 500 км', '22 авг, Караганда']
['Toyota Camry,2021', '18 000 000', '₸', 'В кредит от', ' 209 122 ₸/мес.', 'Седан • Новая', '19 авг, Нур-Султан']
['Hyundai Accent,2021', '7 100 000', '₸', 'В кредит от', ' 103 293 ₸/мес.', 'Седан • 6 400 км', '21 сент, Алматы']
['Hyundai Accent,2021', '8 600 000', '₸', 'В кредит от', ' 126 839 ₸/мес.', 'Седан • 3 000 км', '21 сент, Алматы']
['Toyota Land Cruiser,2021', '57 700 000', '₸', 'В кредит от', ' 669 228 ₸/мес.', 'Внедорожник • Новая', '21 авг, Алматы']
['Hyundai Creta,2021', '10 200 000', '₸', 'В кредит от', ' 150 437 ₸/мес.', 'Кроссовер • 11 000 км', '21 авг, Алматы']
['Haval Jolion,2021', '8 290 000', '₸', 'В кредит от', ' 92 518 ₸/мес.', 'Кроссовер • Новая', '19 авг, Усть-Каменогорск']
['Haval Jolion,2021', '10 690 000', '₸', 'В кредит от', ' 119 649 ₸/мес.', 'Кроссовер • Новая', '19 авг, Алматы']
['Haval F7x,2021', '12 390 000', '₸', 'В кредит от', ' 139 959 ₸/мес.', 'Кроссовер • Новая', '19 авг, Алматы']
['Hyundai Accent,2021', '6 900 000', '₸', 'В кредит от', ' 100 343 ₸/мес.', 'Седан • 10 000 км', '22 июл, Алматы']
['Hyundai Elantra,2021', '9 780 000', '₸', 'В кредит от', ' 121 209 ₸/мес.', 'Седан • 15 386 км', '26 июл, Алматы']
['Volkswagen Polo,2021', '7 600 000', '₸', 'В кредит от', ' 94 377 ₸/мес.', 'Хэтчбек • 41 693 км', '26 июл, Алматы']
['Hyundai Santa Fe,2021', '17 500 000', '₸', 'В кредит от', ' 256 679 ₸/мес.', 'Кроссовер • 5 000 км', '27 июл']
['Renault Arkana,2021', '8 860 000', '₸', 'В кредит от', ' 133 980 ₸/мес.', 'Кроссовер • 4 525 км', '27 июл, Нур-Султан']
['Volvo XC60,2021', '29 850 000', '₸', 'В кредит от', ' 345 111 ₸/мес.', 'Кроссовер • Новая', '26 авг, Алматы']
['Chevrolet Nexia,2021', '4 780 000', '₸', 'В кредит от', ' 99 030 ₸/мес.', 'Седан • 12 025 км', '28 июл, Нур-Султан']
['Volvo XC90,2021', '40 250 000', '₸', 'В кредит от', ' 465 936 ₸/мес.', 'Кроссовер • Новая', '26 авг, Алматы']
['Volvo S60,2021', '30 250 000', '₸', 'В кредит от', ' 349 758 ₸/мес.', 'Седан • Новая', '26 авг, Алматы']
['Volvo V90 Cross Country,2021', '31 420 000', '₸', 'В кредит от', ' 363 014 ₸/мес.', 'Универсал • Новая', '9 авг, Алматы']
['Volvo XC90,2021', '42 000 000', '₸', 'В кредит от', ' 487 950 ₸/мес.', 'Кроссовер • Новая', '26 авг, Алматы']
['Volvo XC60,2021', '33 600 000', '₸', 'В кредит от', ' 390 360 ₸/мес.', 'Кроссовер • Новая', '26 авг, Алматы']
['Volvo XC60,2021', '34 650 000', '₸', 'В кредит от', ' 400 877 ₸/мес.', 'Кроссовер • Новая', '26 авг, Алматы']
['Volkswagen Polo,2021', '9 500 000', '₸', 'В кредит от', ' 138 689 ₸/мес.', 'Седан • 239 км', '29 июл, Караганда']
['Kia Rio,2021', '7 450 000', '₸', 'В кредит от', ' 107 743 ₸/мес.', 'Седан • 7 000 км', '30 июл, Алматы']
['Volvo XC60,2021', '34 900 000', '₸', 'В кредит от', ' 404 342 ₸/мес.', 'Кроссовер • Новая', '30 июл, Алматы']
['Toyota Corolla,2021', '11 050 000', '₸', 'В кредит от', ' 135 422 ₸/мес.', 'Седан • 2 490 км', '30 июл, Алматы']
['Hyundai Grand Starex,2021', '18 000 000', '₸', 'В кредит от', ' 223 525 ₸/мес.', 'Минивэн • 25 км', '2 авг, Алматы']
['Hyundai Grand Starex,2021', '18 000 000', '₸', 'В кредит от', ' 223 525 ₸/мес.', 'Минивэн • 20 км', '30 июл, Алматы']
['Volkswagen Polo,2021', '8 870 000', '₸', 'В кредит от', ' 108 590 ₸/мес.', 'Седан • 15 512 км', '30 июл, Алматы']
['Toyota Land Cruiser Prado,2021', '35 220 000', '₸', 'В кредит от', ' 435 205 ₸/мес.', 'Внедорожник • 6 150 км', '2 авг, Нур-Султан']
['Hyundai Accent,2021', '6 070 500', '₸', 'В кредит от', ' 87 689 ₸/мес.', 'Седан', '4 авг, Нур-Султан']
['Hyundai Elantra,2021', '9 400 000', '₸', 'В кредит от', ' 138 638 ₸/мес.', 'Седан • 6 000 км', '4 авг, Нур-Султан']
['Hyundai Accent,2021', '7 250 000', '₸', 'В кредит от', ' 104 793 ₸/мес.', 'Седан • 3 000 км', '4 авг, Тараз']
['Toyota Corolla,2021', '9 900 000', '₸', 'В кредит от', ' 144 589 ₸/мес.', 'Седан • 8 500 км', '4 авг, Шымкент']
['Toyota Camry,2021', '13 950 000', '₸', 'В кредит от', ' 205 033 ₸/мес.', 'Седан • 10 000 км', '4 авг, Алматы']
['Kia Rio,2021', '8 090 000', '₸', 'В кредит от', ' 99 144 ₸/мес.', 'Хэтчбек 5 дв. X • 6 900 км', '4 авг, Нур-Султан']
['Kia Cerato,2021', '9 950 000', '₸', 'В кредит от', ' 146 038 ₸/мес.', 'Седан • 25 км', '5 авг, Алматы']
['Chevrolet Cobalt,2021', '6 000 000', '₸', 'В кредит от', ' 121 513 ₸/мес.', 'Седан • 2 500 км', '6 авг, Нур-Султан']
